Graph, Category,Persistent Bytes,# Persistent,# Transient,Total Bytes,# Total,Transient/Total Bytes,
0,CA::Render::Array,0 Bytes,0,123,5.19 KiB,123,Ratio: %0.00,0.00%
0,Malloc 132.00 KiB,0 Bytes,0,29,3.74 MiB,29,Ratio: %0.00,0.00%
0,Malloc 114.50 KiB,0 Bytes,0,1,114.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 30.50 KiB,0 Bytes,0,1,30.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 55.50 KiB,0 Bytes,0,2,111.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 70.50 KiB,0 Bytes,0,3,211.50 KiB,3,Ratio: %0.00,0.00%
0,Malloc 90.50 KiB,0 Bytes,0,1,90.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 115.50 KiB,0 Bytes,0,1,115.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 148.00 KiB,0 Bytes,0,1,148.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 1.00 MiB,0 Bytes,0,11,11.02 MiB,11,Ratio: %0.00,0.01%
0,Malloc 188.00 KiB,0 Bytes,0,1,188.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 240.00 KiB,0 Bytes,0,1,240.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 300.00 KiB,0 Bytes,0,1,300.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 516.00 KiB,0 Bytes,0,9,4.54 MiB,9,Ratio: %0.00,0.00%
0,Malloc 372.00 KiB,0 Bytes,0,1,372.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 468.00 KiB,0 Bytes,0,1,468.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 588.00 KiB,0 Bytes,0,2,1.15 MiB,2,Ratio: %0.00,0.00%
0,Malloc 248.00 KiB,0 Bytes,0,3,744.00 KiB,3,Ratio: %0.00,0.00%
0,Malloc 118.00 KiB,0 Bytes,0,1,118.00 KiB,1,Ratio: %0.00,0.00%
0,WebEditorClient,0 Bytes,0,1,160 Bytes,1,Ratio: %0.00,0.00%
0,WebCore::LibWebRTCProvider,0 Bytes,0,1,16 Bytes,1,Ratio: %0.00,0.00%
0,WebChromeClientIOS,0 Bytes,0,1,32 Bytes,1,Ratio: %0.00,0.00%
0,WebInspectorClient,0 Bytes,0,1,48 Bytes,1,Ratio: %0.00,0.00%
0,WebDragClient,0 Bytes,0,1,16 Bytes,1,Ratio: %0.00,0.00%
0,WebPaymentCoordinatorClient,0 Bytes,0,1,16 Bytes,1,Ratio: %0.00,0.00%
0,WebAlternativeTextClient,0 Bytes,0,1,16 Bytes,1,Ratio: %0.00,0.00%
0,WebFrameLoaderClient,0 Bytes,0,1,32 Bytes,1,Ratio: %0.00,0.00%
0,WebProgressTrackerClient,0 Bytes,0,1,16 Bytes,1,Ratio: %0.00,0.00%
0,WebCore::BasicWheelEventDeltaFilter,0 Bytes,0,1,64 Bytes,1,Ratio: %0.00,0.00%
0,WebGeolocationClient,0 Bytes,0,1,16 Bytes,1,Ratio: %0.00,0.00%
0,WebUserMediaClient,0 Bytes,0,1,16 Bytes,1,Ratio: %0.00,0.00%
0,WebCore::UserMediaController,0 Bytes,0,1,16 Bytes,1,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<TCPIOConnection::ConnectionEstablishmentDelegate*, Deleter_CustomBlock, std::__1::allocator<TCPIOConnection::ConnectionEstablishmentDelegate> >",0 Bytes,0,7,336 Bytes,7,Ratio: %0.00,0.00%
0,TFontNameString,0 Bytes,0,16,2.12 KiB,16,Ratio: %0.00,0.00%
0,Malloc 120.50 KiB,0 Bytes,0,1,120.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 128.00 KiB,0 Bytes,0,1,128.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 2.00 MiB,0 Bytes,0,3,6.01 MiB,3,Ratio: %0.00,0.00%
0,Malloc 256.00 KiB,0 Bytes,0,7,1.75 MiB,7,Ratio: %0.00,0.00%
0,Malloc 4.00 MiB,0 Bytes,0,12,48.05 MiB,12,Ratio: %0.00,0.03%
0,Malloc 119.50 KiB,0 Bytes,0,1,119.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 80.50 KiB,0 Bytes,0,1,80.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 196.00 KiB,0 Bytes,0,2,392.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 2.60 MiB,0 Bytes,0,21,54.55 MiB,21,Ratio: %0.00,0.03%
0,Malloc 1.29 MiB,0 Bytes,0,12,15.42 MiB,12,Ratio: %0.00,0.01%
0,Malloc 4.33 MiB,0 Bytes,0,1,4.33 MiB,1,Ratio: %0.00,0.00%
0,Malloc 612.00 KiB,0 Bytes,0,5,2.99 MiB,5,Ratio: %0.00,0.00%
0,Malloc 5.41 MiB,0 Bytes,0,1,5.41 MiB,1,Ratio: %0.00,0.00%
0,Malloc 292.00 KiB,0 Bytes,0,1,292.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 98.50 KiB,0 Bytes,0,1,98.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 5.89 MiB,0 Bytes,0,1,5.89 MiB,1,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<facebook::react::NativeToJsBridge::loadApplication(std::__1::unique_ptr<facebook::react::JSModulesUnbundle, std::__1::default_delete<facebook::react::JSModulesUnbundle> >, std::__1::unique_ptr<facebook::react::JSBigString const, std::__1::default_delete<facebook::react::JSBigString const> >, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >)::$_0, std::__1::allocator<facebook::react::NativeToJsBridge::loadApplication(std::__1::unique_ptr<facebook::react::JSModulesUnbundle, std::__1::default_delete<facebook::react::JSModulesUnbundle> >, std::__1::unique_ptr<facebook::react::JSBigString const, std::__1::default_delete<facebook::react::JSBigString const> >, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >)::$_0>, void (facebook::react::JSExecutor*)>",0 Bytes,0,1,48 Bytes,1,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<facebook::react::NativeToJsBridge::runOnExecutorQueue(std::__1::function<void (facebook::react::JSExecutor*)>)::$_7, std::__1::allocator<facebook::react::NativeToJsBridge::runOnExecutorQueue(std::__1::function<void (facebook::react::JSExecutor*)>)::$_7>, void ()>",0 Bytes,0,483,45.28 KiB,483,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<std::__1::function<void ()>, std::__1::allocator<std::__1::function<void ()> > >",0 Bytes,0,484,37.81 KiB,484,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<realm::_impl::RealmCoordinator, std::__1::allocator<realm::_impl::RealmCoordinator> >",0 Bytes,0,2,1.56 KiB,2,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<realm::Realm::make_shared_realm(realm::Realm::Config, std::__1::shared_ptr<realm::_impl::RealmCoordinator>)::make_shared_enabler, std::__1::allocator<realm::Realm::make_shared_realm(realm::Realm::Config, std::__1::shared_ptr<realm::_impl::RealmCoordinator>)::make_shared_enabler> >",0 Bytes,0,2,960 Bytes,2,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<realm::util::InterprocessMutex::LockInfo, std::__1::allocator<realm::util::InterprocessMutex::LockInfo> >",0 Bytes,0,4,448 Bytes,4,Ratio: %0.00,0.00%
0,Malloc 24.50 KiB,0 Bytes,0,25,612.50 KiB,25,Ratio: %0.00,0.00%
0,realm::Column<long long>,0 Bytes,0,14,448 Bytes,14,Ratio: %0.00,0.00%
0,realm::ArrayInteger,0 Bytes,0,17,1.86 KiB,17,Ratio: %0.00,0.00%
0,realm::StringColumn,0 Bytes,0,32,1.50 KiB,32,Ratio: %0.00,0.00%
0,realm::ArrayString,0 Bytes,0,30,3.28 KiB,30,Ratio: %0.00,0.00%
0,realm::IndexArray,0 Bytes,0,10,1.09 KiB,10,Ratio: %0.00,0.00%
0,realm::ArrayStringLong,0 Bytes,0,2,928 Bytes,2,Ratio: %0.00,0.00%
0,"std::__1::__async_assoc_state<void, std::__1::__async_func<realm::_impl::ExternalCommitHelper::ExternalCommitHelper(realm::_impl::RealmCoordinator&)::$_0> >",0 Bytes,0,2,320 Bytes,2,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<realm::util::EventLoopSignal<realm::_impl::WeakRealmNotifier::Callback>, std::__1::allocator<realm::util::EventLoopSignal<realm::_impl::WeakRealmNotifier::Callback> > >",0 Bytes,0,2,96 Bytes,2,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<OTL::GCommon::FeatureTableSubstitutionsForAxisValues(OTL::GCommon::Header const*, void const*, unsigned long, short const*)::$_7, std::__1::allocator<OTL::GCommon::FeatureTableSubstitutionsForAxisValues(OTL::GCommon::Header const*, void const*, unsigned long, short const*)::$_7>, bool (OTL::ConditionTable const*, OTL::FeatureTableSubstitutionTable const*, bool&)>",0 Bytes,0,20,960 Bytes,20,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<realm::Descriptor, std::__1::allocator<realm::Descriptor> >",0 Bytes,0,4,384 Bytes,4,Ratio: %0.00,0.00%
0,"realm::IntegerNode<realm::Column<long long>, realm::Equal>",0 Bytes,0,4,1.44 KiB,4,Ratio: %0.00,0.00%
0,CA::Render::Timing,0 Bytes,0,78,4.88 KiB,78,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<JSC::BytecodeGenerator::BytecodeGenerator(JSC::VM&, JSC::FunctionNode*, JSC::UnlinkedFunctionCodeBlock*, JSC::DebuggerMode, JSC::VariableEnvironment const*)::$_0, std::__1::allocator<JSC::BytecodeGenerator::BytecodeGenerator(JSC::VM&, JSC::FunctionNode*, JSC::UnlinkedFunctionCodeBlock*, JSC::DebuggerMode, JSC::VariableEnvironment const*)::$_0>, bool (WTF::UniquedStringImpl*)>",0 Bytes,0,3599,168.70 KiB,3599,Ratio: %0.00,0.00%
0,icu::TimeZoneFormat,0 Bytes,0,2,3.00 KiB,2,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<OTL::GSUB::ApplyChainingCtxtSubst3(OTL::LookupSubtable const*, TGlyphIterator&, unsigned short*, OTL::MultipleSubstitutionState*, unsigned long) const::$_5, std::__1::allocator<OTL::GSUB::ApplyChainingCtxtSubst3(OTL::LookupSubtable const*, TGlyphIterator&, unsigned short*, OTL::MultipleSubstitutionState*, unsigned long) const::$_5>, void (long, long)>",0 Bytes,0,4,192 Bytes,4,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<BuildFeaturesMap(OTL::GCommon::Header const*, void const*, (anonymous namespace)::OTFeaturesMap&)::$_27, std::__1::allocator<BuildFeaturesMap(OTL::GCommon::Header const*, void const*, (anonymous namespace)::OTFeaturesMap&)::$_27>, bool (unsigned int, OTL::LangSysTable const*, bool&)>",0 Bytes,0,20,960 Bytes,20,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<BuildFeaturesMap(OTL::GCommon::Header const*, void const*, (anonymous namespace)::OTFeaturesMap&)::$_28, std::__1::allocator<BuildFeaturesMap(OTL::GCommon::Header const*, void const*, (anonymous namespace)::OTFeaturesMap&)::$_28>, bool (unsigned int, OTL::FeatureTable const*, bool&)>",0 Bytes,0,60,4.69 KiB,60,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<BuildFeaturesMap(OTL::GCommon::Header const*, void const*, (anonymous namespace)::OTFeaturesMap&)::$_28::operator()(unsigned int, OTL::FeatureTable const*, bool&) const::'lambda'(unsigned short, bool&), std::__1::allocator<BuildFeaturesMap(OTL::GCommon::Header const*, void const*, (anonymous namespace)::OTFeaturesMap&)::$_28::operator()(unsigned int, OTL::FeatureTable const*, bool&) const::'lambda'(unsigned short, bool&)>, bool (unsigned short, bool&)>",0 Bytes,0,600,37.50 KiB,600,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<HTTPTransaction::RequestBodyStream, std::__1::allocator<HTTPTransaction::RequestBodyStream> >",0 Bytes,0,4,768 Bytes,4,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<CoreSchedulingSet*, Deleter_release<CoreSchedulingSet>, std::__1::allocator<CoreSchedulingSet> >",0 Bytes,0,15,480 Bytes,15,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<__CFData*, Deleter_CFRelease, std::__1::allocator<__CFData> >",0 Bytes,0,4,128 Bytes,4,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<dispatch_data_s*, HTTPEngine::_writeBodyPlain(dispatch_data_s*, CFStreamError, bool)::$_0, std::__1::allocator<dispatch_data_s> >",0 Bytes,0,4,128 Bytes,4,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<TOpenTypeMorph::AddShapingGlyphs(TFont const&, std::__1::function<void (unsigned short, unsigned short)>, std::__1::function<void ()>)::$_1, std::__1::allocator<TOpenTypeMorph::AddShapingGlyphs(TFont const&, std::__1::function<void (unsigned short, unsigned short)>, std::__1::function<void ()>)::$_1>, bool (unsigned int, OTL::ScriptTable const*, bool&)>",0 Bytes,0,5,320 Bytes,5,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<TOpenTypeMorph::AddShapingGlyphs(TFont const&, std::__1::function<void (unsigned short, unsigned short)>, std::__1::function<void ()>)::$_1::operator()(unsigned int, OTL::ScriptTable const*, bool&) const::'lambda'(unsigned int, OTL::LangSysTable const*, bool&), std::__1::allocator<TOpenTypeMorph::AddShapingGlyphs(TFont const&, std::__1::function<void (unsigned short, unsigned short)>, std::__1::function<void ()>)::$_1::operator()(unsigned int, OTL::ScriptTable const*, bool&) const::'lambda'(unsigned int, OTL::LangSysTable const*, bool&)>, bool (unsigned int, OTL::LangSysTable const*, bool&)>",0 Bytes,0,17,1.06 KiB,17,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<OTL::GCommon::AddCoveredGlyphs(TInlineVector<std::__1::pair<unsigned short, unsigned int>, 30ul> const&, std::__1::function<void (unsigned short, unsigned short)>, std::__1::function<void ()>) const::$_8, std::__1::allocator<OTL::GCommon::AddCoveredGlyphs(TInlineVector<std::__1::pair<unsigned short, unsigned int>, 30ul> const&, std::__1::function<void (unsigned short, unsigned short)>, std::__1::function<void ()>) const::$_8>, void (unsigned short, unsigned short, unsigned short)>",0 Bytes,0,821,51.31 KiB,821,Ratio: %0.00,0.00%
0,CG::Path::Empty,0 Bytes,0,594,9.28 KiB,594,Ratio: %0.00,0.00%
0,HTTP2ConnectionCache,0 Bytes,0,3,432 Bytes,3,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<IOConnWrapper, std::__1::allocator<IOConnWrapper> >",0 Bytes,0,3,144 Bytes,3,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<HTTP2Connection*, Deleter_release<HTTP2Connection>, std::__1::allocator<HTTP2Connection> >",0 Bytes,0,3,96 Bytes,3,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<PropertyObserver, std::__1::allocator<PropertyObserver> >",0 Bytes,0,3,144 Bytes,3,Ratio: %0.00,0.00%
0,HTTP2Stream,0 Bytes,0,3,1.36 KiB,3,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<HTTP2Stream*, std::__1::default_delete<HTTP2Stream>, std::__1::allocator<HTTP2Stream> >",0 Bytes,0,3,96 Bytes,3,Ratio: %0.00,0.00%
0,RequestBodyStreamProvider,0 Bytes,0,3,528 Bytes,3,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<BlockHolderVar<>*, SmartBlockWithArgs<>::Deleter, std::__1::allocator<BlockHolderVar<> > >",0 Bytes,0,3,96 Bytes,3,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<BlockHolderVar<CFStreamError>*, SmartBlockWithArgs<CFStreamError>::Deleter, std::__1::allocator<BlockHolderVar<CFStreamError> > >",0 Bytes,0,3,96 Bytes,3,Ratio: %0.00,0.00%
0,Malloc 2.05 MiB,0 Bytes,0,42,85.97 MiB,42,Ratio: %0.00,0.05%
0,CA::Render::KeyframeAnimation,0 Bytes,0,16,2.25 KiB,16,Ratio: %0.00,0.00%
0,CA::Render::Vector,0 Bytes,0,383,43.44 KiB,383,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<dispatch_data_s*, void (*)(dispatch_data_s*), std::__1::allocator<dispatch_data_s> >",0 Bytes,0,3,144 Bytes,3,Ratio: %0.00,0.00%
0,icu::DateFormat,0 Bytes,0,1,832 Bytes,1,Ratio: %0.00,0.00%
0,Malloc 152.00 KiB,0 Bytes,0,1,152.00 KiB,1,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<facebook::react::NativeToJsBridge::callFunction(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&, folly::dynamic&&)::$_1, std::__1::allocator<facebook::react::NativeToJsBridge::callFunction(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&, folly::dynamic&&)::$_1>, void (facebook::react::JSExecutor*)>",0 Bytes,0,420,45.94 KiB,420,Ratio: %0.00,0.00%
0,CA::Render::BasicAnimation,0 Bytes,0,4,512 Bytes,4,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<facebook::react::NativeToJsBridge::invokeCallback(double, folly::dynamic&&)::$_2, std::__1::allocator<facebook::react::NativeToJsBridge::invokeCallback(double, folly::dynamic&&)::$_2>, void (facebook::react::JSExecutor*)>",0 Bytes,0,62,4.84 KiB,62,Ratio: %0.00,0.00%
0,CFURLCacheFS,0 Bytes,0,74,9.25 KiB,74,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<TCharStreamUniChar, std::__1::allocator<TCharStreamUniChar> >",0 Bytes,0,57,9.80 KiB,57,Ratio: %0.00,0.00%
0,IIOImageSource,0 Bytes,0,111,32.95 KiB,111,Ratio: %0.00,0.00%
0,IIOImageRead,0 Bytes,0,111,32.95 KiB,111,Ratio: %0.00,0.00%
0,CG::Path::Rectangle,0 Bytes,0,23,1.08 KiB,23,Ratio: %0.00,0.00%
0,Malloc 44.00 KiB,0 Bytes,0,16,704.00 KiB,16,Ratio: %0.00,0.00%
0,CA::Render::Path,0 Bytes,0,6,2.25 KiB,6,Ratio: %0.00,0.00%
0,IIOImageReadSession,0 Bytes,0,263,16.44 KiB,263,Ratio: %0.00,0.00%
0,IIOImagePlus,0 Bytes,0,222,55.50 KiB,222,Ratio: %0.00,0.00%
0,IIODictionary,0 Bytes,0,563,17.59 KiB,563,Ratio: %0.00,0.00%
0,PNGReadPlugin,0 Bytes,0,82,30.75 KiB,82,Ratio: %0.00,0.00%
0,IIOImageProviderInfo,0 Bytes,0,222,55.50 KiB,222,Ratio: %0.00,0.00%
0,XMP_NamespaceTable,0 Bytes,0,18,4.78 KiB,18,Ratio: %0.00,0.00%
0,CGSImageData (DECODE|INTERP),0 Bytes,0,25,1.22 MiB,25,Ratio: %0.00,0.00%
0,XMP_Node,0 Bytes,0,50,6.25 KiB,50,Ratio: %0.00,0.00%
0,XMPMeta,0 Bytes,0,18,6.47 KiB,18,Ratio: %0.00,0.00%
0,ExpatAdapter,0 Bytes,0,18,4.50 KiB,18,Ratio: %0.00,0.00%
0,XML_Node,0 Bytes,0,316,49.38 KiB,316,Ratio: %0.00,0.00%
0,XMPIterator,0 Bytes,0,18,7.03 KiB,18,Ratio: %0.00,0.00%
0,IIOMetadata_Tag,0 Bytes,0,32,2.50 KiB,32,Ratio: %0.00,0.00%
0,CGSImageData (DECODE|ALPHAM|COLORSPACE),0 Bytes,0,11,430.00 KiB,11,Ratio: %0.00,0.00%
0,Malloc 37.00 KiB,0 Bytes,0,1,37.00 KiB,1,Ratio: %0.00,0.00%
0,CGSImageData (DECODE|COLORSPACE),0 Bytes,0,68,919.50 KiB,68,Ratio: %0.00,0.00%
0,Malloc 27.50 KiB,0 Bytes,0,2,55.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 23.50 KiB,0 Bytes,0,3,70.50 KiB,3,Ratio: %0.00,0.00%
0,Malloc 42.00 KiB,0 Bytes,0,1,42.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 29.00 KiB,0 Bytes,0,2,58.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 34.00 KiB,0 Bytes,0,2,68.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 39.50 KiB,0 Bytes,0,1,39.50 KiB,1,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<_CFURLCache const*, -[NSURLStorage_CacheClient notifyCachedURLResponseBecameFileBacked:filePath:forUUID:]::$_0, std::__1::allocator<_CFURLCache const> >",0 Bytes,0,94,2.94 KiB,94,Ratio: %0.00,0.00%
0,RedirectionRecorder,0 Bytes,0,1,48 Bytes,1,Ratio: %0.00,0.00%
0,Malloc 38.00 KiB,0 Bytes,0,1,38.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 47.00 KiB,0 Bytes,0,1,47.00 KiB,1,Ratio: %0.00,0.00%
0,AppleJPEGReadPlugin,0 Bytes,0,140,83.12 KiB,140,Ratio: %0.00,0.00%
0,Malloc 56.50 KiB,0 Bytes,0,2,113.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 22.50 KiB,0 Bytes,0,2,45.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 35.50 KiB,0 Bytes,0,1,35.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 93.50 KiB,0 Bytes,0,1,93.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 136.00 KiB,0 Bytes,0,1,136.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 404.00 KiB,0 Bytes,0,1,404.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 272.00 KiB,0 Bytes,0,1,272.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 72.00 KiB,0 Bytes,0,1,72.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 48.00 KiB,0 Bytes,0,4,192.00 KiB,4,Ratio: %0.00,0.00%
0,Malloc 96.00 KiB,0 Bytes,0,3,288.00 KiB,3,Ratio: %0.00,0.00%
0,Malloc 66.00 KiB,0 Bytes,0,2,132.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 53.00 KiB,0 Bytes,0,2,106.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 68.00 KiB,0 Bytes,0,1,68.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 33.50 KiB,0 Bytes,0,2,67.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 27.00 KiB,0 Bytes,0,2,54.00 KiB,2,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<void JSC::DFG::SpeculativeJIT::compileMathIC<JSC::JITSubGenerator, long long (*)(JSC::ExecState*, long long, long long, JSC::JITBinaryMathIC<JSC::JITSubGenerator>*), long long (*)(JSC::ExecState*, long long, long long)>(JSC::DFG::Node*, JSC::JITBinaryMathIC<JSC::JITSubGenerator>*, bool, bool, long long (*)(JSC::ExecState*, long long, long long, JSC::JITBinaryMathIC<JSC::JITSubGenerator>*), long long (*)(JSC::ExecState*, long long, long long))::'lambda'(), std::__1::allocator<void JSC::DFG::SpeculativeJIT::compileMathIC<JSC::JITSubGenerator, long long (*)(JSC::ExecState*, long long, long long, JSC::JITBinaryMathIC<JSC::JITSubGenerator>*), long long (*)(JSC::ExecState*, long long, long long)>(JSC::DFG::Node*, JSC::JITBinaryMathIC<JSC::JITSubGenerator>*, bool, bool, long long (*)(JSC::ExecState*, long long, long long, JSC::JITBinaryMathIC<JSC::JITSubGenerator>*), long long (*)(JSC::ExecState*, long long, long long))::'lambda'()>, void ()>",0 Bytes,0,2,288 Bytes,2,Ratio: %0.00,0.00%
0,Malloc 25.50 KiB,0 Bytes,0,1,25.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 85.50 KiB,0 Bytes,0,1,85.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 80.00 KiB,0 Bytes,0,1,80.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 110.00 KiB,0 Bytes,0,2,220.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 88.00 KiB,0 Bytes,0,2,176.00 KiB,2,Ratio: %0.00,0.00%
0,Malloc 112.00 KiB,0 Bytes,0,1,112.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 36.00 KiB,0 Bytes,0,1,36.00 KiB,1,Ratio: %0.00,0.00%
0,Malloc 96.50 KiB,0 Bytes,0,1,96.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 125.50 KiB,0 Bytes,0,1,125.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 46.50 KiB,0 Bytes,0,1,46.50 KiB,1,Ratio: %0.00,0.00%
0,Malloc 34.50 KiB,0 Bytes,0,1,34.50 KiB,1,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<(anonymous namespace)::MorxStateTableSubtableBuilder<STXEntryOne>::PopulateBitmap(long)::'lambda'(unsigned short, unsigned short, unsigned short), std::__1::allocator<(anonymous namespace)::MorxStateTableSubtableBuilder<STXEntryOne>::PopulateBitmap(long)::'lambda'(unsigned short, unsigned short, unsigned short)>, void (unsigned short, unsigned short, unsigned short)>",0 Bytes,0,4,192 Bytes,4,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<TAATLookupTable::Iterate(std::__1::function<void (unsigned short, unsigned short, unsigned short)>) const::'lambda'(unsigned short, unsigned short, unsigned short const*), std::__1::allocator<TAATLookupTable::Iterate(std::__1::function<void (unsigned short, unsigned short, unsigned short)>) const::'lambda'(unsigned short, unsigned short, unsigned short const*)>, void (unsigned short, unsigned short, unsigned short const*)>",0 Bytes,0,1,64 Bytes,1,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<TAATLookupTable::Iterate(std::__1::function<void (unsigned short, unsigned short, unsigned short)>) const::'lambda1'(unsigned short, unsigned short const*), std::__1::allocator<TAATLookupTable::Iterate(std::__1::function<void (unsigned short, unsigned short, unsigned short)>) const::'lambda1'(unsigned short, unsigned short const*)>, void (unsigned short, unsigned short const*)>",0 Bytes,0,1,64 Bytes,1,Ratio: %0.00,0.00%
0,CGSImageData (DECODE),0 Bytes,0,2,14.50 KiB,2,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<TAATMorphSubtableMorx::AddShapingGlyphs(std::__1::function<void (unsigned short, unsigned short)>)::$_2, std::__1::allocator<TAATMorphSubtableMorx::AddShapingGlyphs(std::__1::function<void (unsigned short, unsigned short)>)::$_2>, void (unsigned short, unsigned short, unsigned short)>",0 Bytes,0,6,672 Bytes,6,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<TAATLookupTable::Iterate(std::__1::function<void (unsigned short, unsigned short, unsigned short)>) const::'lambda0'(unsigned short, unsigned short const*), std::__1::allocator<TAATLookupTable::Iterate(std::__1::function<void (unsigned short, unsigned short, unsigned short)>) const::'lambda0'(unsigned short, unsigned short const*)>, void (unsigned short, unsigned short const*)>",0 Bytes,0,3,192 Bytes,3,Ratio: %0.00,0.00%
